##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-FOURCHETTE;Fourchette;categorie-kugatumba-cuisine;101;202000;TRUE;TRUE;piece
INVENTORY-COUTEAU_DE_TABLE;Couteau de table;categorie-kugatumba-cuisine;84;168000;TRUE;TRUE;piece
INVENTORY-UTUYIKO_DUTOYA;Utuyiko dutoya;categorie-kugatumba-cuisine;51;76500;TRUE;TRUE;piece
INVENTORY-BOLLE;Bolle;categorie-kugatumba-cuisine;76;380000;TRUE;TRUE;piece
INVENTORY-CHAUFFE_EAU;Chauffe eau;categorie-kugatumba-cuisine;2;90000;TRUE;TRUE;piece
INVENTORY-TABLE_DE_CUISINE;Table de cuisine;categorie-kugatumba-cuisine;8;320000;TRUE;TRUE;piece
INVENTORY-CABELAS;Cabelas;categorie-kugatumba-cuisine;1;;TRUE;TRUE;piece
INVENTORY-ROUCHE;Rouche;categorie-kugatumba-cuisine;5;12500;TRUE;TRUE;piece
INVENTORY-MACHETTE_DE_CUISINE;Machette de cuisine;categorie-kugatumba-cuisine;3;24000;TRUE;TRUE;piece
INVENTORY-FOUR_AKABENZI;Four akabenzi ;categorie-kugatumba-cuisine;1;6500000;TRUE;TRUE;piece
INVENTORY-VANTILATEUR;Vantilateur;categorie-kugatumba-cuisine;1;600000;TRUE;TRUE;piece
INVENTORY-CALCULATRICE;Calculatrice;categorie-kugatumba-cuisine;1;10000;TRUE;TRUE;piece
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-CARTON_AMSTEL_G;Carton amstel G;categorie-kugatumba-bar;67;3015000;TRUE;TRUE;caisse
INVENTORY-CARTON_P_AMSTEL;Carton P amstel ;categorie-kugatumba-bar;28;2240000;TRUE;TRUE;caisse
INVENTORY-CARTON_PRIMUS_G;Carton primus G;categorie-kugatumba-bar;26;650000;TRUE;TRUE;caisse
INVENTORY-CARTON_PRIMUS_P;Carton primus p;categorie-kugatumba-bar;33;1485000;TRUE;TRUE;caisse
INVENTORY-CARTON_VIVA;Carton viva;categorie-kugatumba-bar;36;1980000;TRUE;TRUE;caisse
INVENTORY-CARTON_FANTA;Carton fanta;categorie-kugatumba-bar;81;2835000;TRUE;TRUE;caisse
INVENTORY-CARTON_ROYALE;Carton royale;categorie-kugatumba-bar;41;4100000;TRUE;TRUE;caisse
INVENTORY-CARTON_SOMA;Carton soma;categorie-kugatumba-bar;4;;TRUE;TRUE;caisse
INVENTORY-CARTON_SKOL;Carton skol;categorie-kugatumba-bar;20;;TRUE;TRUE;caisse
